year,species
2017,Passer montanus
2017,Passer montanus
2017,Phasianus colchicus
2017,Chalcophaps indica
2017,Streptopelia tranquebarica
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Streptopelia chinensis
2017,Turdus pallidus
2017,Halcyon coromanda
2017,Myiomela leucura
2017,Chalcophaps indica
2017,Zoothera sp.
2017,Passer montanus
2017,Pycnonotus sinensis
2017,Accipiter soloensis
2017,Passer montanus
2017,Passer montanus
2017,Alcedo atthis
2017,Hirundo rustica
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Zosterops simplex
2017,Halcyon coromanda
2017,Pycnonotus sinensis
2017,Turdus chrysolaus
2017,Accipiter virgatus
2017,Pitta nympha
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Myiomela leucura
2017,Bubulcus ibis
2017,Otus lettia
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Lonchura punctulata
2017,Streptopelia chinensis
2017,Aplonis panayensis
2017,Passer montanus
2017,Pandion haliaetus
2017,Alcedo atthis
2017,Locustella ochotensis
2017,Alcedo atthis
2017,Sitta europaea
2017,Hypsipetes leucocephalus
2017,Bambusicola sonorivox
2017,Lonchura striata
2017,Streptopelia tranquebarica
2017,Passer montanus
2017,Pycnonotus sinensis
2017,Cuculus optatus
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Halcyon coromanda
2017,Streptopelia chinensis
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Chalcophaps indica
2017,Myiomela leucura
2017,Bambusicola sonorivox
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Passer montanus
2017,Streptopelia tranquebarica
2017,Arborophila crudigularis
2017,Arborophila crudigularis
2017,Nycticorax nycticorax
2017,Falco peregrinus
2017,Psilopogon nuchalis
2017,Hypsipetes amaurotis
2017,Chalcophaps indica
2017,Treron sieboldii
2017,Alcedo atthis
2017,Alcedo atthis
2017,Psilopogon nuchalis
2017,Streptopelia chinensis
2017,Streptopelia chinensis
2017,Streptopelia chinensis
2017,Clamator coromandus
2017,Alcedo atthis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Aplonis panayensis
2017,Pitta nympha
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Zosterops simplex
2017,Accipiter trivirgatus
